Unix Time,Env,Experiment,Step,Value
1734401816.1270459,LBF,exp_7,39,3.0
1734401822.2887287,LBF,exp_7,40,3.6666666666666665
1734401828.83615,LBF,exp_8,0,0.0
1734401835.8710272,LBF,exp_8,1,0.0
1734401843.2321718,LBF,exp_8,2,2.0
1734401849.7300239,LBF,exp_8,3,1.3333333333333333
1734401856.5936365,LBF,exp_8,4,1.0
1734401862.9026518,LBF,exp_8,5,1.3333333333333333
1734401869.655779,LBF,exp_8,6,2.3333333333333335
1734401876.2026215,LBF,exp_8,7,1.0
1734401882.8984947,LBF,exp_8,8,1.0
1734401889.2884862,LBF,exp_8,9,2.6666666666666665
1734401896.0122902,LBF,exp_8,10,2.3333333333333335
1734401902.8963428,LBF,exp_8,11,0.0
1734401909.71603,LBF,exp_8,12,1.3333333333333333
1734401917.1920435,LBF,exp_8,13,0.3333333333333333
1734401924.036841,LBF,exp_8,14,1.0
1734401930.8019838,LBF,exp_8,15,2.0
1734401937.5118039,LBF,exp_8,16,1.6666666666666667
1734401944.0074322,LBF,exp_8,17,2.0
1734401951.2815928,LBF,exp_8,18,1.0
1734401958.0930738,LBF,exp_8,19,2.6666666666666665
1734401964.937692,LBF,exp_8,20,3.3333333333333335
1734401971.1941237,LBF,exp_8,21,2.0
1734401978.147752,LBF,exp_8,22,3.3333333333333335
1734401984.9982424,LBF,exp_8,23,2.6666666666666665
1734401992.376112,LBF,exp_8,24,1.0
1734401998.972686,LBF,exp_8,25,0.0
1734402005.5836954,LBF,exp_8,26,0.0
1734402012.108862,LBF,exp_8,27,0.0
1734402018.6364558,LBF,exp_8,28,0.0
1734402024.9385872,LBF,exp_8,29,3.6666666666666665
1734402031.2502875,LBF,exp_8,30,1.0
1734402038.4946537,LBF,exp_8,31,0.0
1734402044.9086978,LBF,exp_8,32,2.3333333333333335
1734402051.4567814,LBF,exp_8,33,2.0
1734402058.133246,LBF,exp_8,34,0.0
1734402064.9216387,LBF,exp_8,35,0.3333333333333333
1734402071.3367236,LBF,exp_8,36,1.0
1734402077.733992,LBF,exp_8,37,2.0
1734402084.6773324,LBF,exp_8,38,2.0
1734402091.3214476,LBF,exp_8,39,2.0
1734402098.321243,LBF,exp_8,40,2.6666666666666665
1734402106.284305,Coop,exp_1,0,0.0
1734402114.4572499,Coop,exp_1,1,0.0
1734402122.6693566,Coop,exp_1,2,0.0
1734402130.8380344,Coop,exp_1,3,-0.06666666666666667
1734402139.0981762,Coop,exp_1,4,0.0
1734402147.365079,Coop,exp_1,5,1.3333333333333333
1734402155.5105364,Coop,exp_1,6,0.0
1734402164.8419993,Coop,exp_1,7,0.0
1734402173.155201,Coop,exp_1,8,0.19999999999999998
1734402181.2952273,Coop,exp_1,9,0.3333333333333333
1734402189.524022,Coop,exp_1,10,0.0
1734402197.7450366,Coop,exp_1,11,0.3333333333333333
1734402205.8751092,Coop,exp_1,12,0.26666666666666666
1734402214.0493627,Coop,exp_1,13,0.0
1734402222.1841063,Coop,exp_1,14,0.0
1734402230.6279871,Coop,exp_1,15,-0.06666666666666667
1734402238.7510638,Coop,exp_1,16,0.0
1734402246.9102,Coop,exp_1,17,0.0
1734402255.24611,Coop,exp_1,18,0.3333333333333333
1734402263.3338168,Coop,exp_1,19,-0.06666666666666667
1734402271.4673982,Coop,exp_1,20,0.3333333333333333
